Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Households and NPISHs Final consumption expenditure (current US$);NE.CON.PRVT.CD;3436647869;3534213720;3657991291;3742451281;3784681276;3973988150;4314740524;4782182882;4891398387;5645713470;6335955457;7669841575;8719765873;12042530693;16980447099;23577481420;25772598399;33958611272;39175458090;47380250583;54424096215;64407237665;77933090865;97817951432;1.06483E+11;1.2075E+11;1.4996E+11;92364111078;92385841336;86204510920;84717671416;null;null;33419604109;36907271307;48241163904;57053409229;59693894408;63877321187;59283828089;54496851434;63719504588;59933154413;68238815728;81106977686;93305898203;1.10345E+11;1.44939E+11;1.71781E+11;1.85278E+11;2.08948E+11;2.64685E+11;3.07885E+11;2.30849E+11;2.17986E+11;2.18074E+11;2.33732E+11;2.38041E+11;1.58454E+11;1.39205E+11;1.10924E+11;1.54929E+11;1.72372E+11
General government final consumption expenditure (constant 2015 US$);NE.CON.GOVT.KD;4935193123;4794749381;4952046373;5367759851;6527825167;8558641689;9642867383;10929332068;12895544468;15179159726;17645351850;22805254962;28619625916;30498763195;49335077985;59994758067;66553480857;64803551821;65921484014;61157632257;55289892681;54714073336;53652318640;54214093611;50863105907;53315253657;42346597341;39402896491;39214701876;38073115295;40074689031;43356779060;43190330275;49784233889;49976943982;48169845364;47992356863;46713904260;48633946682;45790997772;50970678122;52320233626;53831244133;55863004542;60605133622;62903666130;66129958981;61747945985;61876133354;61223425987;59271388975;57121910025;57800820147;59090274685;58282749358;63553947542;67624270651;67069861204;65910791133;62095317567;61514902443;66592454778;66894618975
Net official development assistance received (constant 2020 US$);DT.ODA.ODAT.KD;168690002.4;881070007.3;382190002.4;183669998.2;32209999.08;163899993.9;99110000.61;274239990.2;73480003.36;110919998.2;162889999.4;67209999.08;56159999.85;-15100000.38;39529998.78;5630000.114;-18309999.47;121410003.7;645429992.7;11470000.27;65449996.95;15800000.19;3369999.886;121879997.3;27120000.84;36419998.17;56279998.78;126599998.5;136509994.5;158169998.2;174339996.3;276480011;159050003.1;200009994.5;177169998.2;196240005.5;173389999.4;250830001.8;213169998.2;208240005.5;177539993.3;165710006.7;166410003.7;165429992.7;211800003.1;113599998.5;127169998.2;100000000;88730003.36;85430000.31;104610000.6;97209999.08;140949996.9;120069999.7;69379997.25;121440002.4;126940002.4;147800003.1;166570007.3;210500000;235119995.1;289339996.3;null
Net bilateral aid flows from DAC donors, Total (current US$);DC.DAC.TOTL.CD;26610000.11;129540000;55040000.38;25210000.26;409999.9666;17209999.77;6459999.684;27250000.29;4159999.946;12400000.28;16180000.46;2220000.267;2759999.909;-9610000.011;1389999.963;-16679999.87;-16359999.96;25759999.26;93649996.77;4129999.788;30810000.36;6489999.98;2359999.537;39690001.08;1989999.875;980000.0675;13360000.19;46910000.4;52089998.33;59979999.24;36669998.04;83529999.97;64729997.06;93880000.35;99409999.91;162939998.9;143039998.4;171429998;143839999.6;139150001.6;113119997.2;92429998.75;84980000.17;107750000.2;149659998.2;82599999.95;91530000.2;82270001.26;65910002.02;67929999.03;77039998.62;72579999;112430001.2;98999998.23;53200000.15;92399999.81;88870000.93;124859997.3;147620001.7;175130001.9;203510001;256080001;null
Inflation, consumer prices (annual %);FP.CPI.TOTL.ZG;9.822410813;3.162564396;0.721320572;0.371849607;3.814489572;2.154374835;-0.388148532;1.59761008;0.690360522;3.593194516;1.66687094;4.195298373;6.398241351;9.819486733;14.24893554;12.87918183;11.25614251;27.28778468;11.7219692;10.48723673;20.64391444;24.20358976;18.68972593;19.74018918;12.54021945;4.389340957;18.42900302;28.57142857;28.67063492;22.34965305;7.627674938;17.12856794;25.80772262;21.20263075;31.44702842;49.65598585;28.93734402;17.34922575;17.86613421;20.07070781;14.47675132;11.27424713;14.33593374;16.46801162;14.7615087;13.43311801;10.01589825;17.34104046;25.41050903;13.55155483;10.08936293;26.29338567;27.25681272;36.60303552;16.60655324;12.48468156;7.24542549;8.044924377;18.01411834;39.90734557;30.59413904;43.38901627;null
Broad money (% of GDP);FM.LBL.BMNY.GD.ZS;16.36986758;17.03935185;20.19757929;22.95472759;24.40105832;24.34992741;25.39381437;27.19106697;27.52120746;28.67869979;30.02944599;29.76588848;32.22857534;29.24883941;24.93335884;29.74688481;31.4721209;33.4852957;42.76841766;50.01924885;59.59123472;58.22950209;55.31736189;51.19792528;null;null;61.52620202;60.48182204;64.40871536;63.46572789;53.68216924;47.61009794;44.32265739;39.08873596;39.57528819;36.44968509;35.2372428;37.22167992;40.13115237;36.29376992;37.15509485;40.87214626;37.8563477;39.19691075;38.7646215;41.53087928;47.06752922;47.39689844;44.291262;53.25470453;54.11468982;47.48617952;55.56631192;51.99600325;60.96142032;76.76127207;82.51016788;null;null;null;null;null;null
Net foreign assets (current LCU);FM.AST.NFRG.CN;11400000000;15880000000;18025625000;19666382500;14680757500;20693610000;20585172500;22207187500;14450000000;7640757500;-14615000000;3519870275;51802321800;73765689625;5.39202E+11;5.81591E+11;5.8443E+11;7.99725E+11;null;1.13532E+12;8.76656E+11;4.86526E+11;1.3746E+12;7.33739E+11;null;null;5.77606E+11;7.38834E+11;5.76353E+11;7.002E+11;6.06765E+11;1.12909E+12;1.09503E+12;9.9583E+11;2.24133E+12;9.9439E+12;1.82618E+13;1.40253E+13;4.50068E+12;2.24647E+12;1.59073E+13;1.45808E+13;6.0319E+13;7.17469E+13;2.0683E+14;2.52998E+14;3.9006E+14;4.93508E+14;5.59807E+14;7.34626E+14;6.87008E+14;7.07663E+14;8.40537E+14;1.91921E+15;2.14374E+15;2.35542E+15;2.47374E+15;null;null;null;null;null;null
Total reserves minus gold (current US$);FI.RES.XGLD.CD;53000000;79000000;81500000;99510000;50010000;105480000;138230000;180250000;133000000;152010000;77000000;479270289.3;818259595.1;1078479040;8223195946;8743598044;8681248471;12105789030;11977233723;15209641173;10222910263;1605410388;5701205818;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Total fisheries production (metric tons);ER.FSH.PROD.MT;20015;20015;20015;18015;18013;20014;21114;22515;24019;24016;26066;24369;19643;20260;69949;68317;72713;73545;72105;72453;52922;55805;106174;112033;117923;120626;154311;215620;235192;260383;269076;275730;327513;343887;333999;368297;381702;400267;400534;411997;424541;413692;401655;441837;474320;522328;575347;561316;562568;599924;663684;734895;833785.01;879101.02;940600.99;977240;1087850.99;1195366.99;1268111.63;1282681.01;1271400.05;1258202.73;null
Population in largest city;EN.URB.LCTY;1872633;1985637;2105629;2232873;2367997;2510893;2662627;2812066;2963267;3122148;3289785;3466423;3652809;3848661;4055307;4273048;4502804;4671248;4803391;4939272;5079191;5222673;5370415;5522336;5678773;5839193;6004375;6107221;6192027;6277773;6364827;6453088;6517212;6573182;6629711;6686727;6744312;6830901;6928532;7027559;7128140;7229878;7333211;7438021;7544477;7652157;7761526;7844758;7915472;7986626;8058520;8131061;8227292;8335038;8444347;8555089;8667440;8780950;8895947;9013663;9134708;9259009;9381546
CO2 emissions from liquid fuel consumption (kt);EN.ATM.CO2E.LF.KT;21855.32;19339.758;18723.702;20289.511;23589.811;24645.907;26329.06;27630.845;36530.654;28716.277;32746.31;39387.247;38067.127;51180.319;60204.806;65382.61;74242.082;86328.514;85144.073;102672.333;82951.207;80013.94;90200.866;101271.539;103834.772;113321.301;99933.084;109705.639;120200.593;136390.398;139401.005;144087.431;143060.671;146650.664;157394.974;156734.914;158396.065;143328.362;175014.909;227904.05;210287.782;227647.36;218102.159;210962.51;221772.826;223004.938;233551.23;225362.819;234137.95;233107.523;227720.7;223877.684;245322.3;250947.478;245600.992;224834.771;215157.558;null;null;null;null;null;null
CO2 emissions from gaseous fuel consumption (kt);EN.ATM.CO2E.GF.KT;1840.834;1903.173;2038.852;2207.534;2310.21;2379.883;2684.244;2841.925;3039.943;9028.154;20575.537;18041.64;17480.589;19204.079;24194.866;22907.749;22852.744;20461.86;18848.38;24070.188;13292.875;12152.438;12636.482;16046.792;25159.287;27414.492;28565.93;30626.784;38426.493;42625.208;40047.307;49658.514;52691.123;60740.188;73347.334;81642.088;81312.058;90989.271;98733.975;114381.064;120545.291;127758.28;143933.417;158597.75;179044.942;200324.543;221721.488;236712.184;247078.793;261277.417;277448.887;293503.013;292512.923;295175.165;335281.144;357063.124;381015.968;null;null;null;null;null;null
Net ODA received per capita (current US$);DT.ODA.ODAT.PC.ZS;1.268420461;5.904395693;2.495460078;1.175884167;0.178298343;0.868365731;0.44647955;1.229463966;0.311810454;0.616415681;0.736387276;0.257910849;0.294903219;-0.120715652;0.284679351;0.046261104;-0.161342465;1.109343023;6.75257799;0.156968099;0.7310362;0.119576296;-0.014823519;0.970291969;0.170946162;0.241822063;0.537891194;1.402412102;1.560680992;1.701751331;1.907923877;3.335006882;1.780299947;2.350915988;2.167848121;3.074933625;2.670524863;3.213160722;2.593071428;2.504701732;1.981405411;1.71818903;1.701246185;1.928490671;2.731616293;1.434401216;1.644878958;1.434884289;1.370324631;1.24551474;1.491763987;1.385720251;1.963027106;1.67743817;1.015111317;1.355897557;1.394733636;1.66001861;1.944227362;2.361715325;2.693544223;3.454937803;null
Claims on central government, etc. (% GDP);FS.AST.CGOV.GD.ZS;7.721220431;3.44723324;4.10926937;4.848081322;6.657287934;7.091322575;6.989569151;8.351966335;8.167416244;10.74062427;13.79155948;12.94386417;11.20615817;10.32999405;-2.830499768;-4.772795697;-2.575474636;-0.768895953;null;5.527781513;22.26361387;33.41556774;36.8161915;25.03112324;null;null;39.09050502;41.05021122;44.5015051;41.74142807;30.63242731;23.66309605;17.83451622;11.50564361;16.1420847;12.50143416;11.47277213;9.591227147;12.29338775;10.11775899;5.703632968;4.454485742;4.156932318;3.91326407;1.298068615;-0.820475745;-2.912404685;-3.026110037;-4.589498469;-3.451882312;0.592744493;0.498423745;3.403211742;1.944159312;2.115927273;5.78574322;8.511411571;null;null;null;null;null;null
Consumer price index (2010 = 100);FP.CPI.TOTL;0.141434222;0.145907171;0.146959629;0.147506098;0.153132703;0.156431755;0.155824567;0.158314036;0.159406974;0.165134777;0.16788736;0.174930736;0.186123227;0.204399572;0.233524335;0.263600359;0.293271591;0.373298912;0.417056895;0.460794639;0.55592069;0.690473453;0.819521049;0.981296055;1.104352734;1.15282654;1.365280978;1.755361258;2.258634476;2.763431445;2.974217012;3.483657794;4.382710535;5.311960466;6.982414184;10.44960078;13.47343771;15.81097484;18.63578482;22.37611874;25.6154538;28.50340337;32.58963239;37.95649684;43.55944842;49.41084053;54.35978005;63.7863315;79.99476303;90.8352972;100;126.2933857;160.7169373;219.5442149;256.0029419;287.9640939;308.8283178;333.6733224;393.7816296;550.9294253;719.4815397;1031.657502;null
Broad money (current LCU);FM.LBL.BMNY.CN;52070000000;57140000000;71810000000;85700000000;99440000000;1.1431E+11;1.3061E+11;1.5562E+11;1.7977E+11;2.1166E+11;2.4968E+11;3.0962E+11;4.1877E+11;5.4562E+11;7.7914E+11;1.04988E+12;1.51075E+12;1.90487E+12;2.35083E+12;3.18641E+12;4.02478E+12;4.6832E+12;5.8839E+12;6.9831E+12;null;null;9.848E+12;1.17452E+13;1.41059E+13;1.72831E+13;2.0392E+13;2.56073E+13;3.18508E+13;4.14861E+13;5.52992E+13;7.19408E+13;9.52911E+13;1.17858E+14;1.41883E+14;1.72387E+14;2.3336E+14;3.01762E+14;3.87503E+14;4.93148E+14;6.34589E+14;8.43039E+14;1.14949E+15;1.53912E+15;1.72192E+15;2.18742E+15;2.72511E+15;3.27465E+15;4.38734E+15;5.52977E+15;7.47064E+15;9.2911E+15;1.18888E+16;null;null;null;null;null;null
Net domestic credit (current LCU);FM.AST.DOMS.CN;61150000000;59240000000;68820000000;80620000000;1.0141E+11;1.1345E+11;1.3068E+11;1.5745E+11;1.9144E+11;2.356E+11;3.0359E+11;3.484E+11;4.2682E+11;5.9387E+11;5.1975E+11;8.3816E+11;1.36778E+12;1.66086E+12;null;2.72382E+12;4.23557E+12;5.689E+12;7.1317E+12;7.1414E+12;null;null;1.08739E+13;1.34136E+13;1.58069E+13;1.91985E+13;2.27508E+13;2.803E+13;3.39151E+13;4.33851E+13;5.9484E+13;7.44255E+13;1.01566E+14;1.15511E+14;1.5174E+14;1.87227E+14;2.55276E+14;3.15655E+14;4.12755E+14;5.33176E+14;6.81054E+14;8.6153E+14;1.11693E+15;1.51621E+15;1.66669E+15;1.97166E+15;2.73165E+15;3.51735E+15;4.44351E+15;5.1752E+15;6.5065E+15;7.8237E+15;1.02117E+16;null;null;null;null;null;null
Capture fisheries production (metric tons);ER.FSH.CAPT.MT;20015;20015;20015;18015;18013;20014;21114;22515;24019;24016;26066;24309;19488;19949;69062;66807;70038;69745;67170;65413;43659;44608;92818;96665;99554;102850;133381;190800;208792;234383;241929;255504;305707;322005;308100;339661;351725;369988;367297;380197;383991;351142;324838;350123;369990;410567;445879;402767;407842;420372;443650;487633;537271.01;553776.02;620426.99;631122;689721.99;782479.99;828393.63;824550.01;790900.05;779465.73;null
Population in urban agglomerations of more than 1 million (% of total population);EN.URB.MCTY.TL.ZS;15.3339228;15.73475927;16.1417117;16.55016743;16.96022703;17.3737361;17.80629324;18.22364389;18.63929194;19.0592752;19.48064839;19.9164731;20.37167835;20.83024416;21.29018439;21.74824001;22.22379264;22.5735314;22.83963557;23.08659588;23.31407371;23.21139129;23.14394131;23.40715744;23.68458575;23.99278046;24.35267983;24.28569478;24.13485159;24.02588392;23.67741127;23.35311914;23.20902494;23.40358357;23.66265194;23.69838517;23.74219496;23.8287756;23.90799443;23.98219489;24.04359654;24.08940366;24.31545673;24.55598104;24.63064101;24.70682261;24.80105158;24.89078383;24.9897154;25.09273313;25.18778561;25.31738253;25.36830685;25.33639511;25.19459698;24.96329021;24.84100859;24.82006998;24.83000392;24.89541115;25.03165046;25.2004858;25.36281246
Net bilateral aid flows from DAC donors, United States (current US$);DC.DAC.USAL.CD;31000000;129000000;46000000;19000000;-7000000;7159999.847;-8539999.962;-2730000.019;-9119999.886;-4000000;-8000000;-15000000;-8000000;-15000000;-13000000;-13000000;-14000000;-11000000;-8000000;-8000000;null;null;null;null;null;null;null;null;-4000000;null;null;-25000000;null;null;null;null;-21000000;null;null;null;null;null;230000.0042;529999.9714;4750000;3789999.962;2299999.952;2190000.057;2700000.048;730000.0191;1559999.943;1309999.943;949999.9881;589999.9738;1039999.962;670000.0167;3319999.933;479999.9893;5480000.019;1389999.986;null;null;null
Net bilateral aid flows from DAC donors, Japan (current US$);DC.DAC.JPNL.CD;29999.99933;230000.0042;159999.9964;129999.9952;159999.9964;140000.0006;129999.9952;180000.0072;349999.994;2539999.962;11960000.04;3410000.086;-620000.0048;-469999.9988;509999.9905;439999.9976;379999.9952;33549999.24;95269996.64;-280000.0012;23100000.38;-1100000.024;-8720000.267;-8609999.657;-7650000.095;-7969999.79;1250000;2140000.105;2200000.048;3529999.971;-58860000.61;-4130000.114;-48639999.39;-5929999.828;-4150000.095;58139999.39;58090000.15;70250000;48130001.07;47979999.54;44869998.93;34389999.39;17479999.54;11319999.69;19829999.92;-2529999.971;-7349999.905;-12090000.15;-16649999.62;-17409999.85;-7130000.114;-13039999.96;17540000.92;3789999.962;-42090000.15;2880000.114;-17989999.77;6429999.828;4460000.038;12699999.81;11420000.08;42520000.46;null
Grants, excluding technical cooperation (BoP, current US$);BX.GRT.EXTA.CD.WD;12450000;87270000;17390000;31210000;14890000;6740000;-190000;1420000;5090000;220000;560000;240000;2580000;1010000;450000;590000;160000;210000;140180000;-960000;1280000;6860000;5920000;39750000;9630000;7920000;10030000;6600000;6810000;9850000;77980000;85470000;54770000;45440000;56340000;41300000;42700000;59150000;29670000;37050000;36130000;35300000;52290000;65570000;124120000;42180000;59520000;46370000;48540000;42870000;68220000;61920000;61630000;53490000;54410000;35680000;65050000;59910000;65580000;69930000;103230000;150250000;null
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports);TM.VAL.MRCH.R6.ZS;0.359130903;0.315876974;0.518632347;0.307692308;1.001644491;0.11691804;0.224935733;0.28472284;0.301507538;0.397284022;null;null;null;1.195620006;1.216410483;0.663064596;0.810137584;1.378264671;0.019282684;0.247550284;0.718960273;0.658527562;0.067539046;0.138098658;0.117289913;0.105189341;0.064136825;0.117408475;0.048953616;0.296712735;null;null;0.000334784;0.130259021;0.653666808;0.563631934;1.228418337;1.064257785;null;null;0.74245289;0.511143834;0.22824412;0.197736181;0.117609613;0.240117762;0.41892806;0.187642278;0.176488796;0.189381242;0.154191383;0.162418458;0.086117647;0.053049892;0.078900583;0.21944941;0.280445828;0.476630313;0.272301238;0.215162802;0.219083954;null;null
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports);TM.VAL.MRCH.R2.ZS;0.233435087;1.878636741;0.288129082;0.038461538;0.94184482;0.806734479;0.246358183;0.489367381;0.193826274;0.245593759;null;null;null;0.689553122;0.606362195;1.235271943;0.682874592;0.756747896;0.665252603;1.103661681;2.44262144;3.492415834;8.467707894;5.816715462;4.539809576;9.309256662;7.226082309;6.190628669;6.351731734;6.270008589;4.182334843;3.664392216;3.138600603;4.894445276;9.148791861;8.093072363;10.01786069;9.215604923;6.339454025;7.033036348;12.4501911;10.70810677;8.43280952;9.757520029;7.520136737;8.337320903;6.761328213;7.182453272;7.495330406;8.172671268;9.206426207;8.656850979;16.74079083;10.75291032;10.10084151;9.991250437;12.63176215;8.398302736;10.40682707;15.47432799;16.3697355;null;null
Merchandise imports (current US$);TM.VAL.MRCH.CD.WT;560000000;605000000;531000000;524000000;673000000;859000000;931000000;1119000000;1384000000;1527000000;1662000000;1873000000;2409000000;3393000000;5433000000;10343000000;12894000000;14070000000;13550000000;9738000000;12246000000;14693000000;11955000000;18320000000;15370000000;11635000000;10521000000;9570000000;9454000000;14794000000;20322000000;27927000000;25860000000;21427000000;13774000000;13882000000;16274000000;14196000000;14323000000;13324000000;13898000000;16709000000;20617000000;24798000000;31976000000;40041000000;40772000000;44942000000;57401000000;50768000000;65404000000;61760000000;57292000000;46571000000;55106000000;44937000000;43080000000;49499000000;49353000000;41828000000;38757000000;48978000000;55446000000
Urban population;SP.URB.TOTL;7215514;7559948;7923296;8307683;8715144;9143573;9588517;10076232;10598813;11146210;11724692;12327147;12952192;13607250;14299406;15031081;15792269;16555873;17352544;18212226;19142074;20413792;21749390;22857569;24026548;25237766;26478203;27654787;28795455;29930544;31428551;32976516;34229748;34968280;35619538;36620361;37628601;38646084;39719234;40824119;41975934;43177300;44077717;44966983;46180851;47413957;48637866;49802044;50925490;52059325;53233539;54356195;55484160;56721882;58236086;60000125;61546643;62866706;64125842;65261618;66230561;67125144;68013036
Rural population;SP.RUR.TOTL;14173292;14423674;14681754;14951411;15233480;15523453;15810183;16057109;16276489;16497475;16725013;16946535;17159382;17374648;17596128;17825895;18048791;18320624;18641117;18992787;19378590;20062459;20750640;21170417;21601854;22028394;22435034;22886703;23316413;23714192;24365078;25014367;25142268;24787150;24366211;24174448;23969777;23834449;23742187;23650626;23568449;23497551;23249400;22987716;22880823;22768637;22637894;22517374;22392904;22263360;22140316;21986776;21840291;21737046;21725586;21790716;21759588;21638370;21491720;21302584;21059632;20798288;20537534
Population, male;SP.POP.TOTL.MA.IN;10975523;11288130;11614756;11957997;12319448;12696479;13080068;13464371;13850883;14248693;14664691;15089953;15522988;15972140;16442594;16943349;17454256;17986094;18560428;19178716;19842442;20901475;21978956;22714605;23495289;24301374;25105248;25893396;26653409;27404071;28471683;29563662;30246675;30430313;30536539;30931127;31320559;31746786;32223035;32715378;33235518;33786412;34099104;34429317;35028219;35630982;36210381;36750402;37258400;37767957;38301112;38783336;39262182;39818340;40556060;41454741;42200628;42789954;43333952;43792157;44134884;44426789;44714592
Age dependency ratio, old (% of working-age population);SP.POP.DPND.OL;8.156527261;8.018026124;7.864679423;7.711599033;7.552637702;7.391460764;7.259382233;7.157599369;7.073014024;6.995529578;6.91807736;6.846099233;6.777102891;6.703479289;6.623794046;6.536391346;6.457584705;6.380082613;6.289953524;6.207982277;6.141211167;5.979450313;5.837101963;5.804529532;5.803177305;5.838622502;5.908983133;6.013651336;6.137265134;6.252956719;6.257546821;6.238658799;6.299992674;6.449619587;6.58627216;6.622094446;6.6423793;6.638750781;6.609635565;6.578033267;6.546627286;6.515536675;6.541022162;6.575282318;6.571988515;6.569588758;6.57705725;6.613276165;6.677137138;6.771396467;6.903095449;7.082178128;7.303375213;7.548179639;7.843623902;8.180434947;8.550747295;8.962135972;9.396273419;9.849816767;10.3159183;10.71741304;11.07769774
Population ages 80 and above, female (% of female population);SP.POP.80UP.FE.5Y;0.503818056;0.497260949;0.490100651;0.483408823;0.478000333;0.47324905;0.469853327;0.46775701;0.465379702;0.461504551;0.456074981;0.44984995;0.442894207;0.436802527;0.432946754;0.430269605;0.428430121;0.427443941;0.426343742;0.425974908;0.425982719;0.421575684;0.41779977;0.418239612;0.419238351;0.420863917;0.423362082;0.426619194;0.429951388;0.431945989;0.427235315;0.421622297;0.42124828;0.426755323;0.434223887;0.440448041;0.452151128;0.468045761;0.484636106;0.507381027;0.536533867;0.569286664;0.61151867;0.657349706;0.697625312;0.731553422;0.762448636;0.795692521;0.826157941;0.856240812;0.892230985;0.933902833;0.981031898;1.029942919;1.069025383;1.099746904;1.140710671;1.191658958;1.244818042;1.296727804;1.346986084;1.371423077;1.377327562
Population ages 70-74, female (% of female population);SP.POP.7074.FE.5Y;1.316069101;1.282236599;1.242446346;1.203431844;1.17275291;1.15055728;1.135803924;1.127873763;1.123247844;1.118727763;1.113810983;1.109235762;1.104250306;1.099751278;1.097033998;1.094115754;1.092137984;1.091119679;1.085251913;1.070788445;1.048084206;1.01198854;0.970943334;0.935159019;0.907913385;0.893777088;0.889581626;0.892880399;0.905903203;0.930811014;0.957753905;0.993341927;1.048629765;1.117797738;1.180374658;1.223184757;1.253660312;1.269547446;1.274507248;1.282445291;1.299239408;1.31999878;1.3522807;1.390428601;1.422683923;1.45014797;1.475736245;1.503058167;1.528125622;1.546843681;1.560503629;1.570955075;1.57891927;1.588384214;1.598751954;1.615311139;1.653509377;1.712256728;1.781858287;1.887242006;2.024146114;2.151270616;2.269066545
Population ages 65 and above, male;SP.POP.65UP.MA.IN;464997;462884;460655;459277;460159;463262;468368;475437;483769;492761;502284;512324;522890;533880;545273;557169;569228;581362;593231;605294;618218;638021;657011;669848;687574;710728;738722;771752;807569;844260;886030;927859;962143;987311;1013115;1047170;1082625;1120095;1160156;1201643;1244363;1288708;1330598;1373689;1422194;1471415;1521275;1572544;1626367;1683457;1745163;1812684;1887046;1969995;2075269;2201404;2333168;2470458;2613270;2761443;2910351;3040960;3163234
Population ages 65-69, female (% of female population);SP.POP.6569.FE.5Y;1.763920178;1.737376994;1.719399032;1.706816604;1.695085705;1.682049283;1.669154565;1.655975059;1.642699058;1.630982623;1.6197771;1.611614209;1.607088638;1.599965889;1.582336487;1.552675578;1.51292476;1.462949194;1.409144781;1.365627155;1.339444907;1.318576963;1.307636238;1.315054175;1.33705093;1.370509149;1.416719795;1.477852608;1.542563877;1.593515256;1.613862014;1.616185093;1.61558964;1.622216859;1.63628164;1.650553365;1.673378456;1.703454837;1.736909491;1.768520792;1.793880747;1.815937482;1.846166694;1.874751196;1.889412904;1.897912896;1.902337943;1.905189056;1.911646213;1.929810557;1.96392131;2.015378983;2.081419529;2.154243874;2.254364147;2.376931641;2.504512584;2.638263826;2.774084365;2.888073273;2.977710147;3.066046959;3.159261134
Population ages 55-59, female (% of female population);SP.POP.5559.FE.5Y;2.903786443;2.878222234;2.856998314;2.830322578;2.785412311;2.72084893;2.640382578;2.54528959;2.448331954;2.371404837;2.326287082;2.306262256;2.305826703;2.327905697;2.37469706;2.438576699;2.521315476;2.625491093;2.72741428;2.795019487;2.822053865;2.797469928;2.736506384;2.669637508;2.610662978;2.568441035;2.540838234;2.529023137;2.528000565;2.527186335;2.508080912;2.488627054;2.487328775;2.501880854;2.51257173;2.507373379;2.49890357;2.488097205;2.482008794;2.491956192;2.524058065;2.577983367;2.660888911;2.759060285;2.896980296;3.076147359;3.250185935;3.417529178;3.582524218;3.711049361;3.803754149;3.901554103;4.002732995;4.102561793;4.184218682;4.239647716;4.294983825;4.352143466;4.39840525;4.437004356;4.482197132;4.561020951;4.655275453
Population ages 45-49, female (% of female population);SP.POP.4549.FE.5Y;3.519370404;3.481368925;3.473246643;3.499447885;3.564091729;3.65577279;3.777465054;3.934676305;4.094190462;4.207628336;4.265222364;4.270357807;4.220590817;4.141316074;4.070348557;4.019391682;3.982909296;3.960776067;3.943046481;3.911388565;3.859149338;3.796329327;3.731425071;3.661479229;3.581145509;3.494088656;3.405417749;3.320226302;3.249071296;3.20508074;3.201153812;3.231341242;3.286701377;3.35946821;3.496379139;3.691051956;3.885104802;4.075606206;4.26507944;4.411123881;4.515327365;4.623723482;4.74637326;4.876108496;4.999404189;5.112631214;5.20419878;5.274354511;5.32536979;5.356967777;5.382826677;5.421198776;5.469098545;5.522346089;5.611273013;5.759130302;5.900803839;5.988710617;6.045714948;6.101542491;6.180038083;6.288747387;6.454562351
Population ages 35-39, female (% of female population);SP.POP.3539.FE.5Y;6.052495644;6.052059695;5.972124402;5.850051548;5.744018321;5.67167482;5.623936393;5.599160342;5.584306892;5.556628718;5.507876162;5.451157962;5.393360446;5.327617718;5.241070801;5.134102992;5.005643871;4.863809636;4.729833969;4.620999105;4.551139703;4.568430077;4.618172031;4.645776394;4.75096285;4.917820595;5.073616149;5.220356998;5.364118752;5.454465426;5.541140912;5.645071772;5.720933779;5.764157637;5.817183409;5.903773117;5.978648924;6.044835665;6.100590375;6.139971337;6.17936449;6.237475937;6.293925946;6.361450259;6.459480731;6.563029534;6.655500667;6.72314213;6.771329562;6.823326657;6.905435889;7.049309624;7.26823196;7.559095633;7.900742566;8.232240059;8.562394766;8.904010663;9.235834041;9.570373593;9.855629928;10.04429468;10.12157765
Population ages 25-29, female (% of female population);SP.POP.2529.FE.5Y;7.465311372;7.372485284;7.286129347;7.192748633;7.078304602;6.945225644;6.789540705;6.611819539;6.440821139;6.313523505;6.25380939;6.254708961;6.309066085;6.400376555;6.602740534;6.886167434;7.120870374;7.314891025;7.491011349;7.562967801;7.544197527;7.648036041;7.74874892;7.743400912;7.741644663;7.723770913;7.684945426;7.633058767;7.563935673;7.479879035;7.542047106;7.643300899;7.621371581;7.458415128;7.323415716;7.346284483;7.389173243;7.447546178;7.52053087;7.612615636;7.753378334;7.983168371;8.232350641;8.561632497;9.039794681;9.57478337;10.09749973;10.61120021;11.10044155;11.48793666;11.7575074;11.90110724;11.87601822;11.69291471;11.34680117;10.88190135;10.43041626;9.995212048;9.513320995;8.963642024;8.362293367;7.758939006;7.219064523
Population ages 15-64, total;SP.POP.1564.TO;11268938;11491544;11747866;12036090;12390691;12803112;13218122;13625099;14032674;14457919;14914534;15392152;15894181;16433675;17003548;17593867;18157919;18719162;19313847;19928198;20572424;21759358;22952640;23643725;24377077;25132178;25899617;26672115;27435168;28230197;29647417;31186623;32116831;32332248;32628017;33642030;34804652;36186326;37769450;39430433;41162325;42941267;44272423;45550105;47203217;48811929;50340766;51724681;52921528;53938357;54810078;55456569;55967397;56499437;57117527;57861740;58488654;58960922;59397335;59806077;60142828;60503472;60933022
