Country,2024,2023,2022
Sweden,76.2,73.5,80.19
Canada,76.12,76.3,73.58
Dominican Republic,75.96,53.6,55.19
Croatia,75.83,67.8,66.98
Laos,75.42,75.4,
Namibia,75.23,63.5,64.15
Portugal,75.07,70.6,75.94
Timor-Leste,74.88,54.5,
Poland,74.41,64,61.79
Austria,74.29,71.6,68.87
Sao Tome and Principe,74.25,60.2,66.04
Suriname,74.06,59.7,58.02
Jamaica,74.04,57.3,57.55
Puerto Rico,73.38,61.1,63.68
Hungary,73.35,72,67.92
Netherlands,73.21,68.7,71.23
Mongolia,73.08,67.3,63.21
French Guiana,72.93,53.1,
Cyprus,72.49,59.2,58.96
Malaysia,72.47,50.7,51.89
Trinidad and Tobago,72.04,57.8,56.6
Montenegro,71.56,48.8,44.34
North Korea,71.4,30.3,30.19
Cuba,71.28,56.9,
Italy,71.17,64.9,58.49
Kuwait,70.92,58.8,
Panama,70.42,52.6,54.72
United Kingdom,70.3,62.1,62.26
Turkmenistan,70.09,43.1,42.45
Guyana,69.59,43.6,47.17
Romania,68.61,56.4,60.85
North Macedonia,68.56,51.2,50.94
Greece,68.28,54,49.06
Cambodia,68.09,47.9,44.81
Martinique,68.04,61.6,
Germany,68.02,66.4,67.45
Chile,67.97,50.2,51.42
Belgium,67.97,58.3,65.57
Reunion,66.66,48.3,
Bulgaria,66.58,55.5,52.36
Albania,66.24,51.7,50.47
Ghana,66.09,45.5,43.87
El Salvador,66,46.4,41.04
Vietnam,65.99,45,45.75
Spain,65.84,55,53.3
Georgia,65.59,33.2,28.77
Gambia,65.59,46,48.58
Uzbekistan,65.44,40.8,39.62
Rwanda,65.15,49.8,47.64
Saudi Arabia,65.07,39.8,32.08
Maldives,64.96,62.6,69.81
Nicaragua,64.71,42.2,33.49
Paraguay,64.63,49.3,48.11
United States,64.27,47.4,45.28
Zambia,64.17,52.1,50
Azerbaijan,63.5,18,15.57
Equatorial Guinea,63.49,38.4,43.4
China,63.28,25.1,28.3
Serbia,63.01,44.5,40.09
Argentina,62.99,41.7,46.7
Guatemala,62.31,37,34.91
Comoros,62.11,38.9,39.15
Senegal,61.99,41.2,40.57
Liberia,61.99,42.7,35.85
France,61.77,55.9,56.13
Republic of the Congo,61.48,46.9,46.23
Lesotho,61.47,35.5,41.98
Tajikistan,61.19,27.5,21.23
Bahrain,61.18,29.4,30.66
Gabon,61.16,33.6,49.53
Kazakhstan,61.06,36.5,32.55
Moldova,60,20.4,22.17
Sri Lanka,59.91,25.6,18.87
Jordan,59.91,40.3,35.38
Belarus,59.45,18.5,18.4
Malawi,59.4,37.9,41.51
Tanzania,59.24,44.1,36.79
Benin,59.01,31.8,33.02
Nepal,58.81,39.3,37.74
Ukraine,58.51,10.9,5.66
Morocco,58.36,29.9,34.43
Sierra Leone,58.21,37.4,42.92
Madagascar,57.69,19.9,25.94
Bosnia and Herzegovina,57.34,31.3,29.72
Kyrgyzstan,57.28,26.5,25.47
Brazil,57,28.4,33.96
Bolivia,56.57,35.1,36.32
Djibouti,56.39,24.6,26.89
Mauritania,56.34,26.1,27.36
Honduras,56.21,28,25
Angola,56.1,32.2,22.64
Indonesia,55.49,28.9,29.25
South Africa,55.35,20.9,19.81
Guinea-Bissau,55.33,34.1,31.13
Papua New Guinea,54.73,27,23.58
Peru,54.72,24.2,27.83
Thailand,54.22,36,31.6
Algeria,54.05,23.2,19.34
Eritrea,53.79,17.5,14.62
Mexico,53.67,22.7,21.7
Ecuador,53.58,32.7,38.68
Armenia,53.54,17.1,17.92
Eswatini,53.38,30.8,38.21
Philippines,52.67,23.7,20.28
India,52.47,21.3,24.53
Togo,52.07,14.2,20.75
Ivory Coast,51.48,21.8,26.42
Russia,50.46,13.3,16.04
Tunisia,50.1,22.3,24.06
Turkey,49.31,13.7,13.68
Colombia,49.31,19,23.11
Egypt,49.19,16.6,14.15
Zimbabwe,48.52,15.2,16.51
Uganda,48.43,19.4,17.45
Guinea,48.17,16.1,16.98
Israel,48.17,10,11.79
Haiti,45.37,10.4,10.38
Kenya,42.74,14.7,15.09
Burundi,42.38,12.8,12.74
Lebanon,42.16,9.5,9.43
Bangladesh,40.9,15.6,13.21
South Sudan,40.45,3.8,
Cameroon,39.3,11.4,10.85
Iran,38.89,8.1,8.49
Venezuela,36.17,12.3,12.26
Mozambique,35.86,11.8,11.32
Niger,35.77,8.5,9.91
Chad,35.51,9,8.96
Central African Republic,34.58,3.3,
Palestine,33.84,7.1,
Ethiopia,33.7,6.2,4.72
Libya,33.5,4.3,3.77
Burkina Faso,33.33,5.7,8.02
Nigeria,31.69,7.6,7.55
Sudan,31.32,1.9,5.19
Pakistan,30.65,6.6,6.6
Iraq,30.63,2.4,2.36
Myanmar,30.19,4.7,
DR Congo,29.7,5.2,6.13
Afghanistan,28.23,1.4,0.47
Somalia,27.24,2.8,0.94
Syria,25.44,,
Mali,23.34,0.5,1.42
Yemen,18.91,0.9,1.89
